time	stockId	中文名稱
0912_1319	6121	新普
0912_1319	2630	亞航
0912_1319	1217	愛之味
0912_1307	3227	原相
0912_1304	8046	南電
0912_1255	6235	華孚
0912_1252	3701	大眾控
0912_1252	2340	台亞
0912_1246	2497	怡利電
0912_1234	1316	上曜
0912_1225	3311	閎暉
0912_1213	9802	鈺齊-KY
0912_1213	6182	合晶
0912_1204	6585	鼎基
0912_1158	3380	明泰
0912_1158	1324	地球
0912_1155	2516	新建
0912_1143	6288	聯嘉
0912_1107	4164	承業醫
0912_1104	3645	達邁
0912_1055	5425	台半
0912_1049	8086	宏捷科
0912_1046	1513	中興電
0912_1040	3588	通嘉
0912_1037	8112	至上
0912_1037	2458	義隆
0912_1034	1519	華城
0912_1022	6415	矽力*-KY
0912_1022	6284	佳邦
0912_1019	8081	致新
0912_1019	6719	力智
0912_1013	4945	陞達科技
0912_1010	8076	伍豐
0912_1010	5225	東科-KY
0912_1010	4967	十銓
0912_1010	3704	合勤控
0912_1007	3624	光頡
0912_1007	3548	兆利
0912_1007	3260	威剛
0912_1004	6188	廣明
0912_1004	3324	雙鴻
0912_1001	7402	邑錡
0912_1001	6219	富旺
0912_1001	5309	系統電
0912_1001	3264	欣銓
0912_1001	1568	倉佑
0912_0952	6223	旺矽
0912_0952	4906	正文
0912_0952	3308	聯德
0912_0952	2313	華通
0912_0949	6282	康舒
0912_0949	3583	辛耘
0912_0946	2485	兆赫
0912_0943	6788	華景電
0912_0943	2388	威盛
0912_0940	6689	伊雲谷
0912_0940	2355	敬鵬
0912_0940	1339	昭輝
0912_0934	3306	鼎天
0912_0931	6605	帝寶
0912_0931	6485	點序
0912_0931	5215	科嘉-KY
0912_0931	4746	台耀
0912_0931	2402	毅嘉
0912_0925	1560	中砂
0912_0922	1319	東陽
0912_0919	6274	台燿
0912_0916	6792	詠業
0912_0916	3346	麗清
0912_0916	1524	耿鼎
0912_0916	1522	堤維西
0912_0913	5381	合正
0912_0910	6117	迎廣
0912_0910	4916	事欣科
0912_0910	4561	健椿
0912_0910	3046	建碁
0912_0910	2243	宏旭-KY
0912_0904	8478	東哥遊艇
0912_0904	8033	雷虎
0912_0904	8016	矽創
0912_0904	4564	元翎
0912_0904	3622	洋華
0912_0904	3617	碩天
0912_0904	3552	同致
0912_0904	3325	旭品
0912_0904	3178	公準
0912_0904	3032	偉訓
0912_0904	2645	長榮航太
0912_0904	2427	三商電
0912_0904	2425	承啟
